Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Markusvinsa;172920;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-12-01 00:00:00;2018-05-01 15:00:00;164.0;66.7265;22.9001

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;54.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;25.6;Y;;Tidsperiod (fr.o.m.) = 1998-12-01 00:00:00 (UTC)
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;52.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;42.7;Y;;Värdet är summerat över = 1 månad
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;26.4;Y;;
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;24.7;Y;;Kvalitetskoderna:
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;58.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;40.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;129.5;Y;;
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;84.7;Y;;Orsaker till saknade data:
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;16.9;Y;;  stationen eller givaren har varit ur funktion.
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;40.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;85.2;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;41.0;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;70.8;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;48.5;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;27.6;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;73.8;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;35.6;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;110.2;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;121.8;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;44.0;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;27.8;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;77.8;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;63.5;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;45.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;25.4;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;41.5;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;18.2;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;71.3;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;39.9;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;52.4;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;59.9;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;55.9;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;63.0;Y
