Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Björkudden;178820;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-05-01 00:00:00;2018-04-30 23:59:59;376.0;67.3956;18.7156

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;3.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-05-02 06:00:01;2004-06-01 06:00:00;2004-05;25.1;Y;;Tidsperiod (fr.o.m.) = 2004-05-01 00:00:00 (UTC)
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;74.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2004-07-02 06:00:01;2004-08-01 06:00:00;2004-07;194.9;Y;;Värdet är summerat över = 1 månad
2004-08-02 06:00:01;2004-09-01 06:00:00;2004-08;98.7;Y;;
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;106.8;Y;;Kvalitetskoderna:
2004-10-02 06:00:01;2004-11-01 06:00:00;2004-10;31.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;18.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2004-12-02 06:00:01;2005-01-01 06:00:00;2004-12;23.5;Y;;
2005-01-02 06:00:01;2005-02-01 06:00:00;2005-01;63.3;Y;;Orsaker till saknade data:
2005-01-30 06:00:01;2005-03-01 06:00:00;2005-02;14.6;Y;;  stationen eller givaren har varit ur funktion.
2005-03-02 06:00:01;2005-04-01 06:00:00;2005-03;9.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;16.8;Y
2005-05-02 06:00:01;2005-06-01 06:00:00;2005-05;53.0;Y
