Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svappavaara;181890;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-07-01 00:00:00;1987-12-12 23:59:59;327.0;67.65010000000001;21.0558
1988-06-01 00:00:00;2018-04-30 23:59:59;345.0;67.6536;21.052500000000002
1966-01-01 00:00:00;1973-07-31 23:59:59;340.0;67.65010000000001;21.0558
1947-02-01 00:00:00;1965-12-31 23:59:59;335.0;67.65010000000001;21.0558

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;6.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;11.0;G;;Tidsperiod (fr.o.m.) = 1947-02-01 00:00:00 (UTC)
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;37.0;G;;Värdet är summerat över = 1 månad
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;5.0;G;;
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;59.0;G;;Kvalitetskoderna:
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;91.0;G;;Grön (G) = Kontrollerade och godkända värden.
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;17.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;68.0;G;;
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;7.0;G;;Orsaker till saknade data:
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;51.0;G;;  stationen eller givaren har varit ur funktion.
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;55.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;42.0;G
