Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Esrange;181970;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-11-01 00:00:00;1993-12-31 23:59:59;335.0;67.8947;21.0694
2004-10-01 00:00:00;2018-04-30 23:59:59;328.0;67.89110000000001;21.084600000000002
1999-11-01 00:00:00;2004-09-30 23:59:59;330.0;67.8947;21.0694
1994-01-01 00:00:00;1999-07-01 23:59:59;330.0;67.8947;21.0694

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;46.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;42.2;Y;;Tidsperiod (fr.o.m.) = 1977-11-01 00:00:00 (UTC)
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;19.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;24.3;Y;;Värdet är summerat över = 1 månad
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;28.0;Y;;
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;23.1;Y;;Kvalitetskoderna:
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;11.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;2.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;18.1;Y;;
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;53.3;Y;;Orsaker till saknade data:
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;65.0;Y;;  stationen eller givaren har varit ur funktion.
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;78.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;34.4;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;22.6;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;15.4;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;33.0;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;35.2;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;24.7;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;18.1;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;59.0;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;73.1;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;110.1;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;93.3;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;69.1;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;49.4;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;65.9;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;63.5;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;19.4;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;9.6;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;34.5;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;10.5;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;33.7;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;21.6;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;16.5;Y
