Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Saittarova A;182810;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2018-04-30 23:59:59;240.0;67.3376;22.2334

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;2.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;18.4;Y;;Tidsperiod (fr.o.m.) = 1996-02-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;17.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;57.2;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;22.3;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;71.0;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;97.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;33.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;25.7;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;54.5;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;68.7;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;20.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;32.2;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.6;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;45.1;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;29.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;22.2;Y
