Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kangos D;182850;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-07-01 00:00:00;1988-01-31 23:59:59;222.0;67.4792;22.6577
2008-08-01 00:00:00;2018-04-30 23:59:59;230.0;67.4954;22.6647
1988-06-01 00:00:00;2008-04-01 23:59:59;230.0;67.5046;22.6646

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;68.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;204.4;Y;;Tidsperiod (fr.o.m.) = 1974-07-01 00:00:00 (UTC)
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;105.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;107.0;Y;;Värdet är summerat över = 1 månad
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;29.7;Y;;
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;39.3;Y;;Kvalitetskoderna:
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;50.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;54.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;10.6;Y;;
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;11.8;Y;;Orsaker till saknade data:
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;12.7;Y;;  stationen eller givaren har varit ur funktion.
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;55.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;31.6;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;21.4;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;43.7;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;40.7;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;49.0;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;25.1;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;14.4;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;27.8;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;23.6;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;15.8;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;9.2;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;19.4;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;35.1;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;74.8;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;40.1;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;35.3;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;29.2;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;48.7;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;27.2;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;46.3;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;21.2;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;37.5;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;43.4;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;32.9;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;71.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;90.5;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;56.6;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;45.4;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;44.3;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;49.0;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;21.6;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;30.6;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;25.4;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;28.4;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;15.1;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;2.0;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;8.1;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;32.0;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;120.1;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;54.2;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;21.2;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;4.3;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;27.4;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;33.6;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;33.5;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;22.7;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;49.7;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;63.4;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;48.6;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;56.1;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;49.7;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;38.9;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;58.0;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;52.4;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;14.2;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;13.5;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;31.9;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;30.6;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;30.4;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;40.5;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;23.1;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;115.2;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;30.2;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;66.7;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;34.2;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;33.0;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;34.5;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;12.7;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;34.2;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;11.8;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;32.4;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;90.6;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;110.6;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;55.5;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;39.8;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;60.7;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;36.9;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;20.8;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;16.8;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;16.3;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;32.9;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;64.1;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;15.1;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;36.8;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;87.5;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;77.1;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;26.2;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;41.3;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;44.7;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;29.3;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;12.1;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;20.2;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;22.7;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;44.4;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;26.7;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;82.3;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;42.4;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;82.0;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;79.2;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;15.9;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;39.0;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;38.8;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;25.4;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;18.9;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;26.6;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;32.1;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;66.5;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;69.8;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;76.8;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;45.5;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;42.8;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;24.3;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;21.4;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;13.5;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;7.6;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;23.4;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;5.7;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;30.7;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;51.9;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;47.1;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;102.0;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;81.4;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;49.4;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;43.8;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;16.3;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;32.4;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;5.5;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;26.2;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;25.8;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;36.8;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;11.4;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;114.4;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;127.3;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;31.5;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;39.6;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;35.1;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;20.0;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;6.5;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;49.5;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;27.5;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;15.8;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;39.7;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;81.8;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;66.0;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;140.1;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;55.2;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;33.0;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;32.6;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;16.9;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;38.1;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;35.3;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;61.7;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;138.8;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;69.5;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;30.2;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;20.9;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;19.9;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;39.4;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;33.1;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;56.0;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;51.4;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;51.7;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;49.1;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;104.0;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;36.1;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;44.5;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;32.9;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;28.6;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;19.2;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;47.8;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;49.1;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;18.9;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;12.7;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;6.6;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;50.6;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;79.5;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;80.5;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;15.8;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;49.6;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;29.5;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;51.5;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;30.8;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;12.2;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;70.4;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;14.9;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;37.2;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;97.4;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;45.5;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;100.5;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;57.3;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;62.2;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;63.4;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;16.2;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;21.6;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;32.1;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;45.0;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;23.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;29.3;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;27.7;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;95.6;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;108.1;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;93.3;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;16.2;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;45.9;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;52.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;39.5;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;10.8;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;49.5;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;22.1;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;46.7;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;49.3;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;99.2;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;107.3;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;17.4;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;36.2;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;15.2;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;103.9;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;34.6;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.1;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;35.8;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;30.1;Y
