Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Keräntöjärvi;182890;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1986-11-01 00:00:00;2017-06-30 23:59:59;315.0;67.6375;22.9211

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;55.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;60.4;Y;;Tidsperiod (fr.o.m.) = 1986-11-01 00:00:00 (UTC)
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;19.2;Y;;Tidsperiod (t.o.m.) = 2017-06-30 23:59:59 (UTC)
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;9.1;Y;;Värdet är summerat över = 1 månad
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;35.9;Y;;
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;34.7;Y;;Kvalitetskoderna:
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;13.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;38.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;72.5;Y;;
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;41.0;Y;;Orsaker till saknade data:
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;106.3;Y;;  stationen eller givaren har varit ur funktion.
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;52.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;52.6;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;29.8;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;16.0;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;40.8;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;37.5;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;36.6;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;23.9;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;36.6;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;29.2;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;52.0;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;92.3;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;65.2;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;37.8;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;24.5;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;29.6;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;46.8;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;35.4;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;60.2;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;50.6;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;61.0;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;45.7;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;96.6;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;33.5;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;53.0;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;32.3;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;33.9;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;23.1;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;59.6;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;57.6;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;16.1;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;12.0;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;2.9;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;48.8;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;87.3;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;92.9;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;11.0;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;51.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;31.1;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;58.8;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;39.7;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;14.5;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;73.2;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;13.2;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;40.1;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;85.9;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;36.1;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;71.8;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;59.0;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;67.0;Y
