Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Abisko;188800;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1913-02-01 00:00:00;2018-04-30 23:59:59;388.0;68.3557;18.8206

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1913-01-01 07:00:01;1913-02-01 07:00:00;1913-01;20.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1913-02-01 07:00:01;1913-03-01 07:00:00;1913-02;16.0;G;;Tidsperiod (fr.o.m.) = 1913-02-01 00:00:00 (UTC)
1913-03-01 07:00:01;1913-04-01 07:00:00;1913-03;13.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1913-04-01 07:00:01;1913-05-01 07:00:00;1913-04;3.0;G;;Värdet är summerat över = 1 månad
1913-05-01 07:00:01;1913-06-01 07:00:00;1913-05;28.0;G;;
1913-06-01 07:00:01;1913-07-01 07:00:00;1913-06;25.0;G;;Kvalitetskoderna:
1913-07-01 07:00:01;1913-08-01 07:00:00;1913-07;48.0;G;;Grön (G) = Kontrollerade och godkända värden.
1913-08-01 07:00:01;1913-09-01 07:00:00;1913-08;9.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1913-09-01 07:00:01;1913-10-01 07:00:00;1913-09;14.0;G;;
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;27.0;G;;Orsaker till saknade data:
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;18.0;G;;  stationen eller givaren har varit ur funktion.
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;16.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;24.0;G
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;10.0;G
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;20.0;G
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;15.0;G
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;14.0;G
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;58.0;G
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;32.0;G
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;23.0;G
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;45.0;G
