Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rensjön A;189720;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;493.0;68.0745;19.8392

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;3.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;7.2;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;13.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;32.3;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;27.0;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;75.1;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;42.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;53.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;19.6;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;45.2;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;58.6;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;17.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;34.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;36.9;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;29.8;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;23.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;29.5;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;8.9;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;51.0;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;11.0;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;26.5;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;16.6;Y
