Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Övre Soppero;191730;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1937-07-01 00:00:00;2018-04-30 23:59:59;365.0;68.0916;21.7003

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;36.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;43.0;G;;Tidsperiod (fr.o.m.) = 1937-07-01 00:00:00 (UTC)
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;44.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;38.0;G;;Värdet är summerat över = 1 månad
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;15.0;G;;
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;25.0;G;;Kvalitetskoderna:
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;2.0;G;;Grön (G) = Kontrollerade och godkända värden.
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;25.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;10.0;G;;
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;22.0;G;;Orsaker till saknade data:
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;4.0;G;;  stationen eller givaren har varit ur funktion.
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;17.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;45.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;34.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;59.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;12.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;21.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;26.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;12.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;12.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;9.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;8.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;9.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;20.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;60.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;60.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;12.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;2.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;5.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;34.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;10.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;9.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;21.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;6.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;10.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;19.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;17.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;33.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;65.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;51.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;21.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;46.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;26.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;5.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;22.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;16.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;12.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;5.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;18.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;35.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;34.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;58.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;3.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;9.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;20.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;2.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;7.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;18.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;8.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;24.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;35.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;118.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;30.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;21.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;29.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;20.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;4.0;G
