Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Falsterbo;52230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-01-01 00:00:00;2018-04-30 23:59:59;5.0;55.3836;12.8203

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;10.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;5.0;G;;Tidsperiod (fr.o.m.) = 1880-01-01 00:00:00 (UTC)
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;23.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;13.0;G;;Värdet är summerat över = 1 månad
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;20.0;G;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;10.0;G;;Kvalitetskoderna:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;25.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;68.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;15.0;G;;
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;51.0;G;;Orsaker till saknade data:
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;91.0;G;;  stationen eller givaren har varit ur funktion.
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;57.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;33.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;11.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;15.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;19.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;5.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;13.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;27.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;58.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;59.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;36.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;38.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;40.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;17.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;16.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;10.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;24.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;16.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;8.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;66.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;31.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;83.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;29.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;20.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;43.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;34.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;14.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;2.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;4.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;10.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;31.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;34.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;49.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;45.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;46.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;44.0;G
