Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ven;52550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-09-01 00:00:00;1972-02-29 23:59:59;40.0;55.900000000000006;12.716600000000001
1972-05-01 00:00:00;1982-06-30 23:59:59;20.0;55.900000000000006;12.716600000000001
2015-04-01 00:00:00;2017-11-16 23:59:59;25.0;55.912;12.6823
1987-01-01 00:00:00;2015-03-02 05:59:59;25.0;55.912000000000006;12.682300000000001
1982-07-01 00:00:00;1985-09-01 23:59:59;25.0;55.900000000000006;12.716600000000001
1951-02-01 00:00:00;1968-08-31 23:59:59;20.0;55.900000000000006;12.716600000000001

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;90.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;53.0;G;;Tidsperiod (fr.o.m.) = 1951-02-01 00:00:00 (UTC)
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;70.0;G;;Tidsperiod (t.o.m.) = 2017-11-16 23:59:59 (UTC)
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;55.0;G;;Värdet är summerat över = 1 månad
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;32.0;G;;
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;45.0;G;;Kvalitetskoderna:
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;35.0;G;;Grön (G) = Kontrollerade och godkända värden.
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;102.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;53.0;G;;
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;4.0;G;;Orsaker till saknade data:
