Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Trelleborg;53230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-04-01 00:00:00;2018-05-01 15:00:00;5.0;55.381;13.1279
1889-11-01 00:00:00;2014-02-03 05:59:59;5.0;55.381;13.1279

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;60.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;11.0;G;;Tidsperiod (fr.o.m.) = 1889-11-01 00:00:00 (UTC)
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;7.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;48.0;G;;Värdet är summerat över = 1 månad
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;3.0;G;;
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;27.0;G;;Kvalitetskoderna:
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;46.0;G;;Grön (G) = Kontrollerade och godkända värden.
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;37.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;63.0;G;;
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;83.0;G;;Orsaker till saknade data:
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;91.0;G;;  stationen eller givaren har varit ur funktion.
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;13.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;57.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;40.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;5.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;35.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;20.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;61.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;13.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;39.0;G
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;23.0;G
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;15.0;G
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;20.0;G
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;50.0;G
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;45.0;G
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;45.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;90.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;25.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;36.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;25.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;36.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;75.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;48.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;39.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;0.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;36.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;26.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;58.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;28.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;50.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;50.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;29.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;38.0;G
1902-11-01 07:00:01;1902-12-01 07:00:00;1902-11;10.0;G
1902-12-01 07:00:01;1903-01-01 07:00:00;1902-12;19.0;G
1903-01-01 07:00:01;1903-02-01 07:00:00;1903-01;44.0;G
1903-02-01 07:00:01;1903-03-01 07:00:00;1903-02;38.0;G
1903-03-01 07:00:01;1903-04-01 07:00:00;1903-03;15.0;G
1903-04-01 07:00:01;1903-05-01 07:00:00;1903-04;40.0;G
1903-05-01 07:00:01;1903-06-01 07:00:00;1903-05;10.0;G
1903-06-01 07:00:01;1903-07-01 07:00:00;1903-06;39.0;G
1903-07-01 07:00:01;1903-08-01 07:00:00;1903-07;37.0;G
1903-08-01 07:00:01;1903-09-01 07:00:00;1903-08;87.0;G
1903-09-01 07:00:01;1903-10-01 07:00:00;1903-09;45.0;G
1903-10-01 07:00:01;1903-11-01 07:00:00;1903-10;107.0;G
1903-11-01 07:00:01;1903-12-01 07:00:00;1903-11;31.0;G
1903-12-01 07:00:01;1904-01-01 07:00:00;1903-12;20.0;G
1904-01-01 07:00:01;1904-02-01 07:00:00;1904-01;21.0;G
1904-02-01 07:00:01;1904-03-01 07:00:00;1904-02;48.0;G
1904-03-01 07:00:01;1904-04-01 07:00:00;1904-03;26.0;G
1904-04-01 07:00:01;1904-05-01 07:00:00;1904-04;40.0;G
1904-05-01 07:00:01;1904-06-01 07:00:00;1904-05;30.0;G
1904-06-01 07:00:01;1904-07-01 07:00:00;1904-06;38.0;G
1904-07-01 07:00:01;1904-08-01 07:00:00;1904-07;11.0;G
1904-08-01 07:00:01;1904-09-01 07:00:00;1904-08;37.0;G
1904-09-01 07:00:01;1904-10-01 07:00:00;1904-09;7.0;G
1904-10-01 07:00:01;1904-11-01 07:00:00;1904-10;47.0;G
1904-11-01 07:00:01;1904-12-01 07:00:00;1904-11;57.0;G
1904-12-01 07:00:01;1905-01-01 07:00:00;1904-12;42.0;G
1905-01-01 07:00:01;1905-02-01 07:00:00;1905-01;22.0;G
1905-02-01 07:00:01;1905-03-01 07:00:00;1905-02;21.0;G
1905-03-01 07:00:01;1905-04-01 07:00:00;1905-03;30.0;G
1905-04-01 07:00:01;1905-05-01 07:00:00;1905-04;30.0;G
1905-05-01 07:00:01;1905-06-01 07:00:00;1905-05;10.0;G
