Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skurup D;53280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2011-07-01 00:00:00;2018-03-31 23:59:59;35.0;55.4405;13.4796
1933-02-01 00:00:00;2010-01-01 23:59:59;60.0;55.4712;13.5236

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;29.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;72.0;G;;Tidsperiod (fr.o.m.) = 1933-02-01 00:00:00 (UTC)
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;49.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;36.0;G;;Värdet är summerat över = 1 månad
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;42.0;G;;
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;102.0;G;;Kvalitetskoderna:
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;114.0;G;;Grön (G) = Kontrollerade och godkända värden.
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;35.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;54.0;G;;
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;100.0;G;;Orsaker till saknade data:
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;40.0;G;;  stationen eller givaren har varit ur funktion.
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;29.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;57.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;60.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;49.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;8.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;38.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;33.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;35.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;68.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;72.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;113.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;50.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;65.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;45.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;58.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;15.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;77.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;47.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;65.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;47.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;35.0;G
