Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lövestad;53400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-06-01 00:00:00;2018-03-31 23:59:59;80.0;55.6008;13.892
1975-02-01 00:00:00;2014-05-02 05:59:59;80.0;55.6408;13.892

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;29.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;12.5;Y;;Tidsperiod (fr.o.m.) = 1975-02-01 00:00:00 (UTC)
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;39.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;63.6;Y;;Värdet är summerat över = 1 månad
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;9.8;Y;;
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;24.1;Y;;Kvalitetskoderna:
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;26.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;64.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;49.1;Y;;
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;49.1;Y;;Orsaker till saknade data:
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;28.7;Y;;  stationen eller givaren har varit ur funktion.
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;48.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;71.6;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;42.2;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;74.6;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;64.0;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;56.6;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;57.2;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;40.9;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;38.0;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;34.7;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;20.4;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;64.2;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;50.5;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;40.6;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;68.9;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;18.3;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;14.4;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;40.1;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;72.7;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;71.9;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;81.8;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;37.6;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;47.6;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;29.9;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;21.3;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;79.0;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;68.1;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;36.2;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;57.7;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;50.6;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;10.8;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;98.3;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;105.3;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;36.3;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;29.4;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;13.5;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;15.6;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;23.5;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;103.3;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;108.7;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;67.1;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;41.2;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;122.5;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;98.2;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;97.2;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;55.9;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;58.7;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;68.4;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;11.2;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;36.1;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;74.5;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;69.5;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;121.4;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;150.9;Y
