Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vomb;53410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1941-02-01 06:00:00;2014-05-01 05:59:59;25.0;55.6616;13.5323
2014-06-01 00:00:00;2018-05-01 15:00:00;25.0;55.6616;13.5323

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;8.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;35.0;G;;Tidsperiod (fr.o.m.) = 1941-02-01 06:00:00 (UTC)
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;30.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;12.0;G;;Värdet är summerat över = 1 månad
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;4.0;G;;
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;34.0;G;;Kvalitetskoderna:
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;81.0;G;;Grön (G) = Kontrollerade och godkända värden.
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;81.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;19.0;G;;
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;111.0;G;;Orsaker till saknade data:
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;17.0;G;;  stationen eller givaren har varit ur funktion.
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;78.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;22.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;32.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;31.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;18.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;37.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;89.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;76.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;48.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;74.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;64.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;58.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;47.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;47.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;49.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;14.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;29.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;10.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;62.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;37.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;122.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;66.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;24.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;53.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;26.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;71.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;22.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;39.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;6.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;37.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;64.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;34.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;23.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;85.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;29.0;G
