Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Knopparp D;53570;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-12-01 00:00:00;2018-04-30 23:59:59;165.0;55.9299;13.8491
1996-05-01 00:00:00;2010-11-30 23:59:59;165.0;55.9266;13.8578

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;15.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;132.6;Y;;Tidsperiod (fr.o.m.) = 1996-05-01 00:00:00 (UTC)
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;57.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;82.7;Y;;Värdet är summerat över = 1 månad
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;57.1;Y;;
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;87.3;Y;;Kvalitetskoderna:
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;43.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;116.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;41.5;Y;;
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;5.1;Y;;Orsaker till saknade data:
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;88.5;Y;;  stationen eller givaren har varit ur funktion.
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;28.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;47.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;86.4;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;37.9;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;65.6;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;6.4;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;44.5;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;113.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;48.6;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;56.6;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;57.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;66.0;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;92.3;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;76.7;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;37.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;133.7;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;88.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;93.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;78.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;195.3;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;71.0;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;73.7;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;95.6;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;58.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;67.8;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;73.5;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;57.1;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;69.2;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;48.5;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;198.9;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;68.8;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;62.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;33.3;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;205.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;66.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;66.5;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;100.7;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;38.4;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;31.3;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;129.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;54.0;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;66.5;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;89.9;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;67.7;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;77.8;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;68.2;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;48.1;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;63.0;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;30.1;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;65.4;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;48.5;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;57.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;31.8;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;135.2;Y
