Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Baramossa;62220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-05-01 00:00:00;2018-04-30 23:59:59;200.0;56.384;12.9839

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;66.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;91.0;Y;;Tidsperiod (fr.o.m.) = 1973-05-01 00:00:00 (UTC)
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;56.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;105.9;Y;;Värdet är summerat över = 1 månad
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;44.9;Y;;
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;117.1;Y;;Kvalitetskoderna:
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;103.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;97.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;57.5;Y;;
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;46.2;Y;;Orsaker till saknade data:
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;2.7;Y;;  stationen eller givaren har varit ur funktion.
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;21.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;66.0;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;120.5;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;79.7;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;114.9;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;133.5;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;110.2;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;153.2;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;100.9;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;8.7;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;55.6;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;69.5;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;59.7;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;22.5;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;73.8;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;43.9;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;81.4;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;90.1;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;79.0;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;75.7;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;77.9;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;29.5;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;24.9;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;46.2;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;52.6;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;30.7;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;71.4;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;37.9;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;38.9;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;70.5;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;93.9;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;102.2;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;98.6;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;55.9;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;95.3;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;145.9;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;53.5;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;75.8;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;150.5;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;41.7;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;113.2;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;76.5;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;162.8;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;124.9;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;59.4;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;19.9;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;129.3;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;9.1;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;4.1;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;92.5;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;103.0;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;107.7;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;191.4;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;47.2;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;101.5;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;26.9;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;70.5;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;53.3;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;112.5;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;61.0;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;53.1;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;40.0;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;115.7;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;122.6;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;83.3;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;18.8;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;152.8;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;98.6;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;40.7;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;22.1;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;12.4;Y
