Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Laholm D;62300;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2018-04-30 23:59:59;10.0;56.4946;12.989

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;80.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;26.3;Y;;Tidsperiod (fr.o.m.) = 2005-12-01 00:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;9.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;33.1;Y;;Värdet är summerat över = 1 månad
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;32.8;Y;;
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;47.6;Y;;Kvalitetskoderna:
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;50.8;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;20.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;27.8;Y;;
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;121.2;Y;;Orsaker till saknade data:
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;45.0;Y;;  stationen eller givaren har varit ur funktion.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;116.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;69.7;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;102.2;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;103.1;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;18.7;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;31.7;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;23.3;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;73.6;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;185.1;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;215.4;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;94.1;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;97.8;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;21.6;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;35.4;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;39.8;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;49.3;Y
