Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Halmstad;62400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-02-01 00:00:00;2018-05-01 15:00:00;24.0;56.6737;12.9242
1982-09-01 00:00:00;2002-04-30 23:59:59;25.0;56.6749;12.9246
2002-05-01 00:00:00;2005-02-01 23:59:59;30.0;56.6795;12.8305
1860-02-01 00:00:00;1982-06-30 23:59:59;10.0;56.6749;12.9246

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1860-01-01 07:00:01;1860-02-01 07:00:00;1860-01;81.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1860-02-01 07:00:01;1860-03-01 07:00:00;1860-02;16.0;G;;Tidsperiod (fr.o.m.) = 1860-02-01 00:00:00 (UTC)
1860-03-01 07:00:01;1860-04-01 07:00:00;1860-03;34.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1860-04-01 07:00:01;1860-05-01 07:00:00;1860-04;30.0;G;;Värdet är summerat över = 1 månad
1860-05-01 07:00:01;1860-06-01 07:00:00;1860-05;52.0;G;;
1860-06-01 07:00:01;1860-07-01 07:00:00;1860-06;111.0;G;;Kvalitetskoderna:
1860-07-01 07:00:01;1860-08-01 07:00:00;1860-07;56.0;G;;Grön (G) = Kontrollerade och godkända värden.
1860-08-01 07:00:01;1860-09-01 07:00:00;1860-08;203.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-09-01 07:00:01;1860-10-01 07:00:00;1860-09;48.0;G;;
1860-10-01 07:00:01;1860-11-01 07:00:00;1860-10;94.0;G;;Orsaker till saknade data:
1860-11-01 07:00:01;1860-12-01 07:00:00;1860-11;32.0;G;;  stationen eller givaren har varit ur funktion.
1860-12-01 07:00:01;1861-01-01 07:00:00;1860-12;21.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1861-01-01 07:00:01;1861-02-01 07:00:00;1861-01;51.0;G
1861-02-01 07:00:01;1861-03-01 07:00:00;1861-02;54.0;G
1861-03-01 07:00:01;1861-04-01 07:00:00;1861-03;52.0;G
1861-04-01 07:00:01;1861-05-01 07:00:00;1861-04;12.0;G
1861-05-01 07:00:01;1861-06-01 07:00:00;1861-05;36.0;G
1861-06-01 07:00:01;1861-07-01 07:00:00;1861-06;66.0;G
1861-07-01 07:00:01;1861-08-01 07:00:00;1861-07;114.0;G
1861-08-01 07:00:01;1861-09-01 07:00:00;1861-08;95.0;G
1861-09-01 07:00:01;1861-10-01 07:00:00;1861-09;103.0;G
1861-10-01 07:00:01;1861-11-01 07:00:00;1861-10;9.0;G
1861-11-01 07:00:01;1861-12-01 07:00:00;1861-11;118.0;G
1861-12-01 07:00:01;1862-01-01 07:00:00;1861-12;8.0;G
1862-01-01 07:00:01;1862-02-01 07:00:00;1862-01;49.0;G
1862-02-01 07:00:01;1862-03-01 07:00:00;1862-02;27.0;G
1862-03-01 07:00:01;1862-04-01 07:00:00;1862-03;32.0;G
1862-04-01 07:00:01;1862-05-01 07:00:00;1862-04;46.0;G
1862-05-01 07:00:01;1862-06-01 07:00:00;1862-05;47.0;G
1862-06-01 07:00:01;1862-07-01 07:00:00;1862-06;143.0;G
1862-07-01 07:00:01;1862-08-01 07:00:00;1862-07;56.0;G
1862-08-01 07:00:01;1862-09-01 07:00:00;1862-08;25.0;G
