Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Eftra D;62510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-12-01 00:00:00;2018-03-31 23:59:59;45.0;56.8584;12.6475

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;101.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;83.7;Y;;Tidsperiod (fr.o.m.) = 2004-12-01 00:00:00 (UTC)
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;110.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;43.9;Y;;Värdet är summerat över = 1 månad
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;40.0;Y;;
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;26.3;Y;;Kvalitetskoderna:
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;61.8;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;62.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;131.2;Y;;
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;96.0;Y;;Orsaker till saknade data:
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;38.2;Y;;  stationen eller givaren har varit ur funktion.
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;85.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;87.3;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;50.5;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;41.8;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;72.6;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;52.1;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;91.2;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;60.4;Y
