Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Örkelljunga;63170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-06-01 00:00:00;2018-04-30 23:59:59;75.0;56.2829;13.3002
1971-08-01 00:00:00;1995-01-01 23:59:59;90.0;56.2819;13.2839

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;85.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;51.9;Y;;Tidsperiod (fr.o.m.) = 1971-08-01 00:00:00 (UTC)
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;85.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;95.9;Y;;Värdet är summerat över = 1 månad
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;134.1;Y;;
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;92.6;Y;;Kvalitetskoderna:
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;20.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;22.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;48.5;Y;;
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;77.1;Y;;Orsaker till saknade data:
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;77.4;Y;;  stationen eller givaren har varit ur funktion.
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;59.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;40.1;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;92.5;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;38.8;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;23.8;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;159.1;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;64.3;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;45.7;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;100.9;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;35.2;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;95.1;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;98.1;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;28.8;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;126.6;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;66.6;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;94.7;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;60.4;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;135.5;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;108.8;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;95.1;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;59.9;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;54.8;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;2.7;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;23.7;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;70.5;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;79.0;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;84.0;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;103.3;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;126.2;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;105.3;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;169.2;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;128.0;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;14.2;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;54.4;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;72.4;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;49.8;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;22.9;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;48.2;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;32.7;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;101.4;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;52.7;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;61.9;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;74.5;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;130.6;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;28.4;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;20.4;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;48.7;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;39.8;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;49.6;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;55.8;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;59.4;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;55.2;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;68.4;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;75.0;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;115.2;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;93.0;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;49.4;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;102.0;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;133.3;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;40.6;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;67.1;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;126.9;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;22.7;Y
