Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Markaryd;63280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-04-30 23:59:59;110.0;56.4595;13.6191
1987-11-01 00:00:00;1995-01-01 23:59:59;118.0;56.4579;13.6573
1972-07-01 00:00:00;1987-09-01 23:59:59;118.0;56.4579;13.6573

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;61.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;87.5;Y;;Tidsperiod (fr.o.m.) = 1972-07-01 00:00:00 (UTC)
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;73.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;25.0;Y;;Värdet är summerat över = 1 månad
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;22.8;Y;;
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;110.6;Y;;Kvalitetskoderna:
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;44.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;36.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;95.1;Y;;
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;35.1;Y;;Orsaker till saknade data:
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;83.0;Y;;  stationen eller givaren har varit ur funktion.
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;104.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;29.6;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;138.3;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;95.7;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;62.0;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;114.0;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;64.9;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;73.2;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;44.9;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;48.1;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;2.1;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;28.4;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;51.5;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;84.4;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;88.1;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;113.6;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;91.0;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;124.6;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;114.8;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;10.5;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;50.7;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;71.7;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;56.9;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;31.6;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;50.2;Y
