Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Knäred D;63320;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1984-04-01 00:00:00;1996-06-30 23:59:59;70.0;56.5103;13.3686
1996-07-01 00:00:00;2012-12-31 23:59:59;35.0;56.5218;13.3364
2013-01-01 00:00:00;2018-05-01 15:00:00;35.0;56.5218;13.3364
1972-02-01 00:00:00;1984-03-01 23:59:59;85.0;56.5636;13.3008

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;15.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;22.0;G;;Tidsperiod (fr.o.m.) = 1972-02-01 00:00:00 (UTC)
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;50.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;70.0;G;;Värdet är summerat över = 1 månad
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;75.0;G;;
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;104.2;Y;;Kvalitetskoderna:
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;109.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;70.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;40.1;Y;;
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;29.9;Y;;Orsaker till saknade data:
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;181.2;Y;;  stationen eller givaren har varit ur funktion.
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;67.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;43.5;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;100.5;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;39.2;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;77.2;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;94.0;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;41.4;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;158.1;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;54.1;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;98.7;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;74.9;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;114.4;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;107.6;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;97.8;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;64.0;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;41.9;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;1.0;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;38.7;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;86.1;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;123.5;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;68.9;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;129.6;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;114.7;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;120.5;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;194.0;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;150.9;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;11.2;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;53.1;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;88.7;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;52.3;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;25.2;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;74.1;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;49.0;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;115.4;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;41.8;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;69.8;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;71.6;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;18.3;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;25.0;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;21.1;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;47.1;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;41.4;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;63.9;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;82.4;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;31.5;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;47.0;G
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;64.5;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;85.1;Y
