Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Marbäck D;63410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-02-01 00:00:00;2018-05-01 15:00:00;50.0;56.7001;13.0332

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;183.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;147.0;Y;;Tidsperiod (fr.o.m.) = 2002-02-01 00:00:00 (UTC)
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;45.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;29.5;Y;;Värdet är summerat över = 1 månad
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;96.2;Y;;
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;176.4;Y;;Kvalitetskoderna:
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;138.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;69.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;36.6;Y;;
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;81.0;Y;;Orsaker till saknade data:
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;84.4;Y;;  stationen eller givaren har varit ur funktion.
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;26.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;85.5;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;15.7;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;27.8;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;97.4;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;120.7;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;76.2;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;105.1;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;87.4;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;33.0;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;57.1;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;114.9;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;141.2;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;87.0;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;58.9;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;80.9;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;29.1;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;55.9;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;136.1;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;171.5;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;153.5;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;132.6;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;102.0;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;106.6;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;91.0;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;150.7;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;46.5;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;64.4;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;34.3;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;79.7;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;64.7;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;122.0;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;106.1;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;54.8;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;79.1;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;114.8;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;53.7;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;52.1;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;61.0;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;65.0;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;103.3;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;94.4;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;32.2;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;17.1;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;147.2;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;62.0;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;244.9;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;151.4;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;192.2;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;200.4;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;46.2;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;67.3;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;39.6;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;101.3;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;205.9;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;232.7;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;128.0;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;140.7;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;42.5;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;74.4;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;95.9;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;138.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;78.2;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;101.6;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;33.9;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;18.4;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;126.0;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;106.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;184.1;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;121.2;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;232.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;105.5;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;61.4;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;73.4;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;45.0;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;45.5;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;9.4;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;113.5;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;79.4;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;149.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;114.4;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;71.7;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;97.6;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;133.4;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;57.9;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;41.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;70.4;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;36.4;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;34.3;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;54.8;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;123.4;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;105.4;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;140.3;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;112.9;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;127.1;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;110.6;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;54.7;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;78.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;63.9;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;50.2;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;32.7;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;80.3;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;127.5;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;121.2;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;205.5;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;110.1;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;96.8;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;44.3;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;138.1;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;112.2;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;98.1;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;35.0;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;90.0;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;48.2;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;101.7;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;194.8;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;75.3;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;213.9;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;99.6;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;81.7;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;98.4;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;55.6;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;38.1;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;9.3;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;37.1;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;61.7;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;110.5;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;45.9;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;141.7;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;64.5;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;98.1;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;102.0;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;147.9;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;79.9;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;99.2;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;39.4;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;66.2;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;84.5;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;74.5;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;150.8;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;191.1;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;44.1;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;101.7;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;36.8;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;167.4;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;152.1;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;65.6;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;82.0;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;73.0;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;116.8;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;76.1;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;105.0;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;78.4;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;92.8;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;17.4;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;180.1;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;139.0;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;66.7;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;94.6;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;45.9;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;81.4;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;13.1;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;41.7;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;68.4;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;127.9;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;31.3;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;57.9;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;64.0;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;67.1;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;39.2;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;85.6;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;64.3;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;61.2;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;24.1;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;140.5;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;69.4;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;140.7;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;136.1;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;198.0;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;136.2;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;201.0;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;97.3;Y
