Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ljungby D;63500;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1879-04-01 00:00:00;1961-11-30 23:59:59;140.0;56.8333;13.9333
2009-04-01 00:00:00;2018-04-30 23:59:59;155.0;56.8099;13.9694
1961-12-01 00:00:00;1971-10-31 23:59:59;140.0;56.8311;13.948
1971-11-01 00:00:00;1980-05-31 23:59:59;155.0;56.8311;13.948
1980-08-01 00:00:00;1993-01-01 23:59:59;145.0;56.8311;13.948
1993-09-01 00:00:00;2008-09-01 23:59:59;145.0;56.8203;13.9469

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;14.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;51.0;G;;Tidsperiod (fr.o.m.) = 1879-04-01 00:00:00 (UTC)
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;50.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;41.0;G;;Värdet är summerat över = 1 månad
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;95.0;G;;
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;73.0;G;;Kvalitetskoderna:
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;50.0;G;;Grön (G) = Kontrollerade och godkända värden.
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;50.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;10.0;G;;
