Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ljungby A;63510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-04-30 23:59:59;148.0;56.8526;13.8822

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;11.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;150.0;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;65.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;59.3;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;16.8;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.8;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;18.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;20.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;15.1;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;140.3;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;36.1;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;74.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;33.8;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;52.4;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;45.8;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;102.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;54.2;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;5.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;74.6;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;29.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;47.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;65.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;76.7;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;75.4;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;21.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;54.6;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;70.9;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;45.1;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;65.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;60.6;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;48.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;49.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;55.6;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;22.7;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;88.2;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;147.4;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;85.9;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;78.6;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;143.1;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;35.2;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;55.7;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;75.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;55.3;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;29.6;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;91.0;Y
