Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bakarebo D;63550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-09-01 00:00:00;2018-02-28 23:59:59;145.0;56.9029;13.696

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;91.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;193.3;Y;;Tidsperiod (fr.o.m.) = 1994-09-01 00:00:00 (UTC)
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;61.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;61.9;Y;;Värdet är summerat över = 1 månad
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;137.6;Y;;
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;81.8;Y;;Kvalitetskoderna:
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;101.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;83.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;57.9;Y;;
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;49.3;Y;;Orsaker till saknade data:
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;48.9;Y;;  stationen eller givaren har varit ur funktion.
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;28.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;21.2;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;122.6;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;56.0;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;67.7;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;20.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;8.6;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;20.2;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;16.9;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.8;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;118.9;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;29.7;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;76.1;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;37.1;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;49.4;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;48.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;104.8;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;54.0;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;6.3;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;104.4;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;34.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;53.3;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;76.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;77.0;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;68.1;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;9.2;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;55.2;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;68.1;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;56.7;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;68.0;Y
