Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Torup A;63590;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-02-01 00:00:00;2018-05-01 15:00:00;130.0;56.9496;13.0625

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;182.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;126.6;Y;;Tidsperiod (fr.o.m.) = 2008-02-01 00:00:00 (UTC)
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;141.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;33.7;Y;;Värdet är summerat över = 1 månad
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;12.5;Y;;
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;71.0;Y;;Kvalitetskoderna:
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;116.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;214.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;121.7;Y;;
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;239.1;Y;;Orsaker till saknade data:
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;137.2;Y;;  stationen eller givaren har varit ur funktion.
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;75.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;68.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;41.8;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;40.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;7.1;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;76.5;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;77.7;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;122.5;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;81.9;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;94.3;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;123.3;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;176.7;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;48.9;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;35.3;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;71.4;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;34.9;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;29.4;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;64.6;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;120.1;Y
