Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hanö A;64020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-04-30 23:59:59;55.0;56.0131;14.8488
1881-12-01 00:00:00;1995-11-30 23:59:59;55.0;56.0133;14.8496

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;19.0;G;;Tidsperiod (fr.o.m.) = 1881-12-01 00:00:00 (UTC)
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;10.0;G;;Värdet är summerat över = 1 månad
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;23.0;G;;
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;27.0;G;;Kvalitetskoderna:
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;15.0;G;;Grön (G) = Kontrollerade och godkända värden.
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;73.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;64.0;G;;
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;128.0;G;;Orsaker till saknade data:
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;28.0;G;;  stationen eller givaren har varit ur funktion.
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;37.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;77.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;48.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;10.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;5.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;4.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;38.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;36.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;55.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;59.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;35.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;79.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;23.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;71.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;37.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;56.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;14.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;34.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;20.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;33.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;24.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;51.0;G
