Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kristianstad;64030;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-04-01 00:00:00;2018-04-30 23:59:59;10.0;56.0133;14.2896
1965-01-01 00:00:00;1982-09-01 23:59:59;3.0;56.0332;14.1762
1997-01-01 00:00:00;2004-03-31 23:59:59;10.0;55.9946;14.1543
1878-06-01 00:00:00;1964-12-31 23:59:59;3.0;56.33;14.15

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1878-05-01 07:00:01;1878-06-01 07:00:00;1878-05;30.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1878-06-01 07:00:01;1878-07-01 07:00:00;1878-06;27.0;G;;Tidsperiod (fr.o.m.) = 1878-06-01 00:00:00 (UTC)
1878-07-01 07:00:01;1878-08-01 07:00:00;1878-07;54.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1878-08-01 07:00:01;1878-09-01 07:00:00;1878-08;46.0;G;;Värdet är summerat över = 1 månad
1878-09-01 07:00:01;1878-10-01 07:00:00;1878-09;45.0;G;;
1878-10-01 07:00:01;1878-11-01 07:00:00;1878-10;30.0;G;;Kvalitetskoderna:
1878-11-01 07:00:01;1878-12-01 07:00:00;1878-11;73.0;G;;Grön (G) = Kontrollerade och godkända värden.
1878-12-01 07:00:01;1879-01-01 07:00:00;1878-12;34.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1879-01-01 07:00:01;1879-02-01 07:00:00;1879-01;44.0;G;;
1879-02-01 07:00:01;1879-03-01 07:00:00;1879-02;60.0;G;;Orsaker till saknade data:
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;15.0;G;;  stationen eller givaren har varit ur funktion.
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;79.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;65.0;G
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;24.0;G
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;87.0;G
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;61.0;G
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;21.0;G
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;29.0;G
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;6.0;G
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;10.0;G
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;48.0;G
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;9.0;G
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;28.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;9.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;63.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;63.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;39.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;68.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;113.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;89.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;57.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;29.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;36.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;24.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;7.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;20.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;28.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;85.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;100.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;71.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;59.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;39.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;30.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;21.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;17.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;35.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;28.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;30.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;101.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;69.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;73.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;64.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;51.0;G
