Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bromölla;64070;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-12-01 00:00:00;2018-03-31 23:59:59;5.0;56.0642;14.4783
1960-02-01 00:00:00;1994-11-30 23:59:59;15.0;56.0783;14.4749

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;42.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;25.0;G;;Tidsperiod (fr.o.m.) = 1960-02-01 00:00:00 (UTC)
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;28.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;29.0;G;;Värdet är summerat över = 1 månad
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;54.0;G;;
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;20.0;G;;Kvalitetskoderna:
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;130.0;G;;Grön (G) = Kontrollerade och godkända värden.
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;44.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;73.0;G;;
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;62.0;G;;Orsaker till saknade data:
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;61.0;G;;  stationen eller givaren har varit ur funktion.
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;45.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;41.9;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;24.8;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;28.1;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;29.3;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;53.8;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;20.3;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;129.8;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;43.5;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;73.4;Y
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;61.5;Y
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;60.6;Y
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;40.3;Y
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;55.5;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;38.3;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;35.1;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;35.2;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;77.9;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;41.7;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;65.8;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;100.4;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;57.9;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;21.5;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;52.7;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;29.4;Y
