Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Olofström;64170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-04-01 00:00:00;2018-03-31 23:59:59;65.0;56.2773;14.5177
1931-02-01 00:00:00;2014-02-03 05:59:59;65.0;56.2773;14.5177

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;108.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;52.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;31.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;64.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;78.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;21.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;123.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;60.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;39.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;47.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;34.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;60.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;52.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;5.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;14.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;73.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;76.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;29.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;88.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;61.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;91.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;189.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;34.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;18.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;32.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;38.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;40.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;20.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;41.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;116.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;100.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;41.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;41.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;73.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;20.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;20.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;54.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;41.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;41.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;10.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;34.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;77.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;116.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;95.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;67.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;119.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;51.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;72.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;36.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;77.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;19.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;71.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;49.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;84.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;122.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;37.0;G
