Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Pjätteryd;64380;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1980-11-01 00:00:00;1988-10-31 23:59:59;140.0;56.6404;14.0296
1988-12-01 00:00:00;2014-02-28 23:59:59;140.0;56.6199;14.0229
2014-04-01 00:00:00;2018-05-01 15:00:00;140.0;56.6199;14.0229

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;120.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;95.7;Y;;Tidsperiod (fr.o.m.) = 1980-11-01 00:00:00 (UTC)
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;105.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;66.4;Y;;Värdet är summerat över = 1 månad
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;53.9;Y;;
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;97.3;Y;;Kvalitetskoderna:
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;34.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;55.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;43.9;Y;;
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;26.0;Y;;Orsaker till saknade data:
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;157.4;Y;;  stationen eller givaren har varit ur funktion.
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;42.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;7.0;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;31.4;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;45.3;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;90.1;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;21.2;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;112.6;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;41.1;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;54.9;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;33.8;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;53.6;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;28.7;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;13.1;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;93.2;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;91.3;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;57.8;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;72.3;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;100.5;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;29.1;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;12.7;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;11.9;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;40.9;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;152.3;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;91.6;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;52.9;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;123.0;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;118.7;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;32.4;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;38.8;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;48.6;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;9.6;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;46.9;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;87.6;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;14.1;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;70.8;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;112.7;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;108.9;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;117.6;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;23.2;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;77.1;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;144.1;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;76.9;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;95.0;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;21.7;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;81.0;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;159.6;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;115.8;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;40.6;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;58.8;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;25.9;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;72.8;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;96.5;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;16.7;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;29.9;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;24.7;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;94.4;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;78.8;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;64.5;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;76.8;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;23.6;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;63.5;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;125.1;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;139.5;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;35.5;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;33.0;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;48.8;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;86.6;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;80.0;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;53.3;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;142.8;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;75.9;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;84.7;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;49.2;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;70.9;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;23.8;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;25.6;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;29.5;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;47.7;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;157.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;22.0;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;77.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;99.4;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;50.9;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;82.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;53.5;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;74.0;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;62.0;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;71.8;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;1.5;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;44.1;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;114.1;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;64.9;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;65.0;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;131.4;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;35.4;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;115.9;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;33.4;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;34.1;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;10.7;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;31.1;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;53.3;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;159.1;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;104.6;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;76.5;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;66.1;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;61.4;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;117.5;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;107.2;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;73.8;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;125.3;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;44.4;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;19.4;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;103.1;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;114.8;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;169.7;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;58.7;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;61.9;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;140.2;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;89.7;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;116.3;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;90.3;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;48.8;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;51.7;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;72.1;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;52.8;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;62.1;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;117.0;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;54.3;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;78.0;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;24.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.0;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;25.1;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;19.6;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;11.7;Y
