Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Växjö D;64520;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2011-06-01 00:00:00;2018-05-01 15:00:00;162.0;56.8811;14.8289
2002-11-01 00:00:00;2006-12-01 23:59:59;170.0;56.8427;14.8176
1860-02-01 00:00:00;2001-09-01 23:59:59;166.0;56.8697;14.8004

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1860-01-01 07:00:01;1860-02-01 07:00:00;1860-01;61.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1860-02-01 07:00:01;1860-03-01 07:00:00;1860-02;31.3;Y;;Tidsperiod (fr.o.m.) = 1860-02-01 00:00:00 (UTC)
1860-03-01 07:00:01;1860-04-01 07:00:00;1860-03;42.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1860-04-01 07:00:01;1860-05-01 07:00:00;1860-04;31.4;Y;;Värdet är summerat över = 1 månad
1860-05-01 07:00:01;1860-06-01 07:00:00;1860-05;82.5;Y;;
1860-06-01 07:00:01;1860-07-01 07:00:00;1860-06;94.9;Y;;Kvalitetskoderna:
1860-07-01 07:00:01;1860-08-01 07:00:00;1860-07;24.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1860-08-01 07:00:01;1860-09-01 07:00:00;1860-08;124.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-09-01 07:00:01;1860-10-01 07:00:00;1860-09;68.4;Y;;
1860-10-01 07:00:01;1860-11-01 07:00:00;1860-10;82.8;Y;;Orsaker till saknade data:
1860-11-01 07:00:01;1860-12-01 07:00:00;1860-11;34.0;Y;;  stationen eller givaren har varit ur funktion.
