Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Karlskrona-Söderstjerna Mo;65090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-06-01 00:00:00;2018-04-30 23:59:59;2.0;56.1498;15.5921

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;43.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;24.3;Y;;Tidsperiod (fr.o.m.) = 2010-06-01 00:00:00 (UTC)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;19.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;13.8;Y;;Värdet är summerat över = 1 månad
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;34.3;Y;;
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;43.3;Y;;Kvalitetskoderna:
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;48.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;58.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;15.9;Y;;
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;39.0;Y;;Orsaker till saknade data:
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;54.1;Y;;  stationen eller givaren har varit ur funktion.
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;38.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;34.3;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;44.7;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;22.5;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;29.0;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;19.0;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;36.9;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;79.3;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;69.9;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;128.0;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;32.4;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;75.3;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;36.1;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;42.8;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;43.9;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;9.6;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;36.7;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;46.4;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;45.1;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;36.2;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;50.5;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;16.7;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;37.0;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;2.4;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;50.0;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;15.8;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;20.3;Y
