Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ronneby-Bredåkra;65160;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-02-01 00:00:00;2018-05-01 15:00:00;58.0;56.2619;15.2742

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;28.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;84.0;G;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;40.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;20.0;G;;Värdet är summerat över = 1 månad
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;19.0;G;;
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;88.0;G;;Kvalitetskoderna:
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;62.0;G;;Grön (G) = Kontrollerade och godkända värden.
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;24.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;105.0;G;;
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;30.0;G;;Orsaker till saknade data:
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;48.0;G;;  stationen eller givaren har varit ur funktion.
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;34.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;28.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;12.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;59.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;30.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;6.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;23.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;70.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;3.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;31.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;11.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;90.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;60.0;G
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;92.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;40.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;16.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;45.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;42.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;26.0;G
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;55.0;G
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;106.0;G
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;29.0;G
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;21.0;G
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;27.0;G
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;20.0;G
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;30.0;G
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;22.0;G
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;24.0;G
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;48.0;G
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;30.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;47.0;G
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;70.0;G
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;33.6;Y
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;37.0;G
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;29.0;G
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;123.0;G
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;78.0;G
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;32.0;G
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;57.0;G
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;19.0;G
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;53.3;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;19.6;Y
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;37.4;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;84.0;G
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;76.1;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;66.0;G
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;78.0;G
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;124.0;G
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;77.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;94.0;G
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;26.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;62.0;G
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;39.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;15.0;G
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;36.0;G
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;32.0;G
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;53.0;G
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;23.0;G
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;10.0;G
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;32.0;G
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;49.0;G
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;72.0;G
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;35.0;G
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;16.0;G
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;12.0;G
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;63.0;G
