Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bredåkra D;65170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-11-01 00:00:00;2018-05-01 15:00:00;40.0;56.2523;15.2548

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;43.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;49.2;Y;;Tidsperiod (fr.o.m.) = 2005-11-01 00:00:00 (UTC)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;61.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;17.8;Y;;Värdet är summerat över = 1 månad
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;51.7;Y;;
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;47.1;Y;;Kvalitetskoderna:
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;72.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;73.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;31.0;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;23.9;Y;;Orsaker till saknade data:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;161.0;Y;;  stationen eller givaren har varit ur funktion.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;15.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;105.3;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;102.0;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;53.8;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;90.4;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;37.7;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;45.3;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;17.4;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;32.5;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;112.5;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;198.8;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;46.6;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;103.8;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;26.4;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;36.1;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;81.3;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;78.4;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;29.2;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;50.9;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;25.3;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;13.8;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;34.1;Y
