Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tvingelshed;65200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-02-01 00:00:00;1993-07-01 23:59:59;95.0;56.3317;15.5819
1993-11-01 00:00:00;2017-07-01 06:00:00;100.0;56.3254;15.5793

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;85.0;G;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;40.0;G;;Tidsperiod (t.o.m.) = 2017-07-01 06:00:00 (UTC)
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;22.0;G;;Värdet är summerat över = 1 månad
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;21.0;G;;
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;87.0;G;;Kvalitetskoderna:
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;53.0;G;;Grön (G) = Kontrollerade och godkända värden.
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;81.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;112.0;G;;
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;42.0;G;;Orsaker till saknade data:
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;41.0;G;;  stationen eller givaren har varit ur funktion.
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;47.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;26.0;G
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;13.0;G
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;57.0;G
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;36.0;G
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;10.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;35.0;G
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;104.0;G
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;20.0;G
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;40.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;12.0;G
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;83.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;60.0;G
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;79.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;36.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;20.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;59.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;37.0;G
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;18.0;G
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;74.0;G
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;98.0;G
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;36.0;G
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;15.0;G
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;30.0;G
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;28.0;G
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;41.0;G
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;24.0;G
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;28.0;G
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;48.0;G
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;28.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;48.0;G
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;64.0;G
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;39.0;G
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;26.0;G
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;36.0;G
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;122.0;G
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;100.0;G
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;40.0;G
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;52.0;G
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;28.0;G
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;56.0;G
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;28.0;G
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;42.0;G
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;68.0;G
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;50.0;G
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;90.0;G
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;88.0;G
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;114.0;G
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;71.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;92.0;G
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;32.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;82.0;G
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;37.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;14.0;G
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;53.0;G
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;55.0;G
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;81.0;G
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;22.0;G
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;8.0;G
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;49.0;G
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;54.0;G
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;72.0;G
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;33.0;G
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;21.0;G
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;29.0;G
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;58.0;G
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;67.0;G
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;42.0;G
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;63.0;G
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;63.0;G
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;129.0;G
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;81.0;G
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;52.0;G
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;29.0;G
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;26.0;G
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;11.0;G
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;26.0;G
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;46.0;G
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;21.0;G
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;70.0;G
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;42.0;G
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;46.0;G
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;10.0;G
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;26.0;G
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;36.0;G
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;76.0;G
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;22.0;G
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;48.0;G
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;21.0;G
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;66.0;G
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;46.0;G
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;74.0;G
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;49.0;G
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;46.0;G
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;55.0;G
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;49.0;G
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;69.0;G
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;41.0;G
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;33.0;G
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;44.0;G
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;11.0;G
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;86.0;G
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;24.0;G
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;21.0;G
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;36.0;G
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;89.0;G
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;34.0;G
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;9.0;G
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;91.0;G
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;63.0;G
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;33.0;G
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;22.0;G
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;47.0;G
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;9.0;G
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;51.0;G
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;72.0;G
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;62.0;G
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;36.0;G
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;52.0;G
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;25.0;G
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;57.0;G
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;37.0;G
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;46.0;G
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;24.0;G
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;17.0;G
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;41.0;G
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;36.0;G
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;81.0;G
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;108.0;G
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;47.0;G
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;59.0;G
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;45.0;G
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;39.0;G
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;53.0;G
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;80.0;G
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;47.0;G
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;35.0;G
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;55.0;G
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;24.0;G
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;59.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;83.0;G
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;27.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;56.0;G
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;42.0;G
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;88.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;53.0;G
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;1.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;14.0;G
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;66.0;G
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;5.0;G
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;20.0;G
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;89.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;12.0;G
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;6.0;G
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;45.0;G
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;24.0;G
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;93.0;G
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;65.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;47.0;G
