Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Eringsboda D;65260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-06-01 00:00:00;2011-11-30 23:59:59;109.0;56.4459;15.3663
1946-07-01 00:00:00;1954-03-01 23:59:00;115.0;56.4333;15.3708
2011-12-01 00:00:00;2012-12-31 23:59:59;109.0;56.4476;15.355400000000001
2013-01-01 00:00:00;2018-03-31 23:59:59;109.0;56.4459;15.3663

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;100.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;55.5;Y;;Tidsperiod (fr.o.m.) = 1946-07-01 00:00:00 (UTC)
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;80.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;111.5;Y;;Värdet är summerat över = 1 månad
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;25.7;Y;;
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;43.4;Y;;Kvalitetskoderna:
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;46.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;10.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;70.5;Y;;
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;114.3;Y;;Orsaker till saknade data:
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;9.5;Y;;  stationen eller givaren har varit ur funktion.
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;32.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;13.2;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;81.9;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;34.7;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;27.1;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;20.2;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;67.1;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;30.3;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;15.1;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;74.9;Y
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;98.7;Y
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;47.0;Y
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;21.5;Y
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;21.7;Y
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;21.0;Y
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;31.2;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;16.0;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;43.2;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;33.5;Y
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;45.3;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;58.3;Y
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;42.7;Y
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;34.0;Y
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;28.8;Y
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;100.8;Y
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;98.0;Y
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;25.5;Y
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;57.2;Y
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;22.0;Y
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;52.3;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;9.0;Y
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;11.7;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;62.7;Y
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;80.1;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;67.5;Y
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;76.0;Y
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;91.0;Y
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;51.0;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;66.0;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;67.0;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;17.5;Y
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;21.0;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;26.5;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;16.5;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;40.6;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;10.0;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;9.0;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;36.5;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;9.5;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;28.0;Y
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;64.0;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;71.0;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;37.5;Y
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;43.0;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;65.5;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;114.0;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;39.0;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;36.0;Y
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;29.0;Y
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;31.0;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;14.0;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;17.0;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;42.4;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;33.0;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;40.3;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;55.9;Y
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;33.2;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;9.4;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;39.9;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;35.5;Y
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;38.5;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;23.0;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;71.8;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;64.8;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;145.3;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;51.8;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;50.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;54.0;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;67.0;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;51.5;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;44.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;66.7;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;17.4;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;13.8;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;64.1;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;26.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;112.5;Y
