Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stångsmåla D;65370;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-11-01 00:00:00;2018-04-30 23:59:59;130.0;56.6105;15.138
1968-02-01 00:00:00;1983-05-31 23:59:59;140.0;56.6158;15.1431

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;65.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;20.0;G;;Tidsperiod (fr.o.m.) = 1968-02-01 00:00:00 (UTC)
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;34.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;28.3;Y;;Värdet är summerat över = 1 månad
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;68.5;Y;;
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;55.6;Y;;Kvalitetskoderna:
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;65.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;35.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;66.0;Y;;
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;68.5;Y;;Orsaker till saknade data:
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;49.0;Y;;  stationen eller givaren har varit ur funktion.
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;26.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;71.7;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;39.0;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;10.1;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;36.0;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;87.2;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;7.0;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;13.1;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;136.8;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;49.7;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;17.8;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;121.4;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;21.2;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;17.6;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;18.8;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;60.6;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;87.2;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;50.1;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;24.8;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;114.1;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;40.8;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;66.2;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;100.4;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;97.6;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;24.8;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;27.4;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;17.9;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;47.9;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;20.6;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;33.2;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;61.6;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;44.7;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;21.6;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;61.0;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;52.0;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;66.5;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;41.5;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;21.3;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;25.7;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;28.8;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;58.1;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;61.9;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;29.4;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;95.8;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;29.0;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;30.7;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;12.8;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;66.7;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;31.7;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;32.5;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;59.9;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;25.7;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;82.2;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;85.7;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;24.3;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;103.9;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;29.3;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;63.7;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;35.7;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;63.9;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;46.0;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;46.6;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;35.2;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;29.7;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;8.1;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;20.6;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;75.5;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;58.3;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;52.9;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;57.2;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;112.8;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;87.6;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;98.7;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;78.7;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;4.7;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;40.7;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;66.9;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;47.6;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;19.5;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;57.3;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;24.1;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;104.2;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;43.0;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;34.0;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;20.5;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;54.8;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;10.5;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;16.0;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;41.6;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;50.4;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;28.8;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;44.8;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;47.1;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;32.3;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;61.4;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;60.1;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;142.0;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;71.2;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;58.3;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;65.8;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;59.5;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;29.2;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;44.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;101.5;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;56.5;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;35.3;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;37.6;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;97.2;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;75.1;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;48.9;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;45.8;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;69.4;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;29.3;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;15.2;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;76.1;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;69.5;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;73.6;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;116.0;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;24.4;Y
