Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nybro-Slättingebygd D;65440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-11-01 00:00:00;2018-05-01 15:00:00;92.0;56.8507;15.9918
1931-02-01 00:00:00;1969-01-01 23:59:59;90.0;56.744;15.9228
1969-08-01 00:00:00;2002-07-01 23:59:59;90.0;56.744;15.9228

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;76.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;23.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;50.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;48.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;73.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;31.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;81.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;37.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;58.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;19.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;24.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;32.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;20.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;20.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;18.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;44.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;73.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;29.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;67.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;60.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;62.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;141.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;19.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;13.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;28.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;41.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;37.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;29.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;40.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;195.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;77.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;28.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;57.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;97.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;60.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;20.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;24.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;36.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;51.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;10.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;13.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;38.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;117.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;135.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;53.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;83.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;72.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;58.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;40.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;42.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;19.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;48.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;26.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;58.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;82.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;54.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;163.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;96.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;63.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;57.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;44.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;77.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;82.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;130.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;60.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;44.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;110.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;65.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;24.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;32.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;37.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;20.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;24.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;44.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;79.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;38.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;53.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;29.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;44.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;60.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;97.0;G
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;6.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;42.0;G
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;134.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;34.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;11.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;4.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;18.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;30.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;30.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;56.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;62.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;48.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;50.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;34.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;46.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;94.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;12.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;41.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;37.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;13.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;53.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;85.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;65.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;67.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;90.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;42.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;47.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;77.0;G
