Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kosta Mo;65510;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-02-01 00:00:00;2018-04-30 23:59:59;230.0;56.8403;15.47

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;36.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;26.4;Y;;Tidsperiod (fr.o.m.) = 2013-02-01 00:00:00 (UTC)
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;33.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;38.5;Y;;Värdet är summerat över = 1 månad
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;94.6;Y;;
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;69.2;Y;;Kvalitetskoderna:
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;48.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;59.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;83.3;Y;;
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;73.2;Y;;Orsaker till saknade data:
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;60.1;Y;;  stationen eller givaren har varit ur funktion.
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;67.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;33.3;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;30.4;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;46.1;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;111.3;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;99.8;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;88.2;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;127.5;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;50.7;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;98.4;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;77.4;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;53.5;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;80.2;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;18.3;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;51.2;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;37.5;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;125.1;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;93.1;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;79.1;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;27.7;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;95.4;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;9.2;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;97.4;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;52.4;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;48.5;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;41.7;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;25.0;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;52.6;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;60.2;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;65.0;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;113.1;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;119.6;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;26.0;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;152.3;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;86.9;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;36.6;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;20.0;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;38.5;Y
