Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hinshult;65580;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1981-09-01 00:00:00;2018-04-30 23:59:59;145.0;56.9703;15.8768

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;27.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;36.1;Y;;Tidsperiod (fr.o.m.) = 1981-09-01 00:00:00 (UTC)
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;69.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;54.0;Y;;Värdet är summerat över = 1 månad
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;57.8;Y;;
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;30.6;Y;;Kvalitetskoderna:
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;4.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;36.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;11.2;Y;;
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;43.6;Y;;Orsaker till saknade data:
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;63.1;Y;;  stationen eller givaren har varit ur funktion.
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;25.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;58.2;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;26.7;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;39.8;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;25.3;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;31.8;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;24.8;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;25.2;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;45.8;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;52.1;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;34.4;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;36.2;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;8.5;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;13.7;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;75.9;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;21.4;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;44.5;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;27.1;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;52.4;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;25.7;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;10.2;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;7.6;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;44.3;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;124.5;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;84.1;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;64.8;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;95.6;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;78.0;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;26.3;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;33.9;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;85.9;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;18.1;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;39.8;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;62.0;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;29.4;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;79.6;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;78.5;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;55.2;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;64.8;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;6.3;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;39.3;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;105.3;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;47.0;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;25.6;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;22.5;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;47.5;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;36.4;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;38.8;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;34.8;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;53.8;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;24.5;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;34.1;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;28.8;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;72.5;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;54.9;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;35.3;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;13.3;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;33.5;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;33.1;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;72.6;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;73.8;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;74.3;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;47.6;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;35.8;Y
