Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Komstorp;66170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-01-01 00:00:00;2018-04-30 23:59:59;10.0;56.2774;16.0197
1946-02-01 00:00:00;1992-12-31 23:59:59;10.0;56.2766;16.0199

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;20.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;50.0;G;;Tidsperiod (fr.o.m.) = 1946-02-01 00:00:00 (UTC)
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;35.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;15.0;G;;Värdet är summerat över = 1 månad
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;20.0;G;;
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;70.0;G;;Kvalitetskoderna:
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;47.0;G;;Grön (G) = Kontrollerade och godkända värden.
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;66.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;64.5;Y;;
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;29.9;Y;;Orsaker till saknade data:
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;34.4;Y;;  stationen eller givaren har varit ur funktion.
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;30.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;19.2;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;16.7;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;45.5;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;24.2;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;16.1;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;17.1;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;93.6;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;18.8;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;36.2;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;10.2;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;64.8;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;69.2;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;71.0;G
