Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kastlösa;66260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-07-01 00:00:00;2018-03-31 23:59:59;20.0;56.4323;16.4213

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;88.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;20.8;Y;;Tidsperiod (fr.o.m.) = 1991-07-01 00:00:00 (UTC)
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;35.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;19.3;Y;;Värdet är summerat över = 1 månad
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;21.5;Y;;
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;43.2;Y;;Kvalitetskoderna:
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;32.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;13.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;24.9;Y;;
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;27.6;Y;;Orsaker till saknade data:
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;37.3;Y;;  stationen eller givaren har varit ur funktion.
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;4.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;0.0;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;31.2;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;78.0;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;34.8;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;76.2;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;58.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;29.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;40.5;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;18.8;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;17.3;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;13.3;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;17.7;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;27.2;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;52.1;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;60.6;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;105.6;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;61.7;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;46.3;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;67.9;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;39.5;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;71.3;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;34.6;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;35.1;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;37.8;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;41.8;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;3.3;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;132.1;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;155.0;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;23.3;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;19.3;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;57.0;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;52.5;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;32.5;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;26.6;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;41.4;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;65.0;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;33.5;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;55.9;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;17.0;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;69.1;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;36.0;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;33.8;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;28.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;13.1;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;50.7;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;9.0;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;16.0;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;138.0;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;46.0;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;81.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;46.4;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;71.0;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;33.2;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;114.2;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;36.8;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;1.3;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;44.4;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;7.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;18.7;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;49.1;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;55.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;29.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;28.9;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;34.9;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;66.9;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;30.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;37.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;31.8;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;22.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;26.6;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;71.5;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;26.9;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;74.9;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;32.0;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;48.8;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;36.1;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;48.5;Y
