Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg A;68560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-07-01 00:00:00;2018-05-01 15:00:00;39.0;56.9213;18.1541

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;42.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;64.6;Y;;Tidsperiod (fr.o.m.) = 2009-07-01 00:00:00 (UTC)
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;22.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;60.5;Y;;Värdet är summerat över = 1 månad
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;57.0;Y;;
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;42.3;Y;;Kvalitetskoderna:
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;31.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;23.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;23.0;Y;;
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;20.1;Y;;Orsaker till saknade data:
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;13.4;Y;;  stationen eller givaren har varit ur funktion.
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;34.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;22.9;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;80.3;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;89.0;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;22.7;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;22.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;107.5;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;40.0;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;37.7;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;24.7;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;10.9;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;33.9;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;8.5;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;22.7;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;88.9;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;47.2;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;23.7;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;36.6;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;5.2;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;65.9;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;56.1;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;47.0;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;11.8;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;29.4;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;14.9;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;67.8;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;107.7;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;46.8;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;27.8;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;72.2;Y
