Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1969-08-01 00:00:00;1972-04-30 23:59:59;40.0;57.72;12.02
1972-08-01 00:00:00;1976-10-01 23:59:59;4.0;57.7;11.98
1995-10-01 00:00:00;1998-06-01 23:59:59;5.0;57.708;11.9938
1999-04-01 00:00:00;2018-05-01 15:00:00;5.0;57.71567;11.9925
1961-02-01 00:00:00;1969-05-31 23:59:59;30.0;57.7;11.97

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;62.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;43.1;Y;;Tidsperiod (fr.o.m.) = 1961-02-01 00:00:00 (UTC)
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;37.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;35.6;Y;;Värdet är summerat över = 1 månad
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;26.2;Y;;
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;67.7;Y;;Kvalitetskoderna:
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;94.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;77.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;88.3;Y;;
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;82.4;Y;;Orsaker till saknade data:
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;77.2;Y;;  stationen eller givaren har varit ur funktion.
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;40.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;89.9;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;80.3;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;31.8;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;51.7;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;70.7;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;34.5;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;86.9;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;217.1;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;99.8;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;76.4;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;63.1;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;64.2;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;9.8;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;8.6;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;52.6;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;27.3;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;56.6;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;43.0;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;94.3;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;172.8;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;69.3;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;141.1;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;142.7;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;41.4;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;39.7;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;23.6;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.7;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;51.1;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;33.1;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;98.2;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;112.4;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;23.2;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;65.8;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;157.6;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;61.6;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;142.2;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;77.6;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;16.2;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;30.3;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;55.1;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;27.4;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;61.2;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;95.5;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;67.2;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;98.7;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;37.6;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;51.5;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;90.9;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;39.5;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;68.5;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;92.8;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;37.1;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;26.8;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;36.7;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;51.2;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;93.6;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;52.8;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;79.2;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;94.8;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;111.6;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;104.6;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;70.5;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;82.4;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;52.9;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;71.8;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;43.0;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;56.6;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;72.3;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;83.2;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;214.2;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;57.7;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;69.5;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;73.5;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;37.8;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;63.9;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;50.4;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;61.5;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;47.1;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;45.4;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;64.4;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;82.4;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;109.9;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;59.6;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;47.4;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;82.7;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;19.1;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;23.4;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;25.5;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;49.6;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;39.6;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;59.1;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;34.8;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;121.5;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;21.7;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;20.6;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;35.3;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;77.1;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;71.3;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;43.3;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;108.3;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;117.8;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;57.8;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;98.1;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;114.0;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;96.1;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;38.9;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;78.7;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;43.4;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;55.5;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;39.0;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;33.0;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;62.4;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;84.8;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;110.4;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;79.2;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;76.0;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;115.6;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;68.6;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;27.5;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;20.9;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;29.3;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;88.4;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;30.7;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;19.8;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;22.4;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;46.8;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;68.3;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;50.2;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;47.7;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;19.2;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;45.7;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;56.4;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;23.0;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;38.1;Y
