Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Veddige D;72170;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2018-05-01 15:00:00;15.0;57.2618;12.3228

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;97.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;49.7;Y;;Tidsperiod (fr.o.m.) = 2005-12-01 00:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;43.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;51.9;Y;;Värdet är summerat över = 1 månad
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;59.3;Y;;
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;86.5;Y;;Kvalitetskoderna:
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;55.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;51.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;51.3;Y;;
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;150.4;Y;;Orsaker till saknade data:
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;59.3;Y;;  stationen eller givaren har varit ur funktion.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;193.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;157.9;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;188.7;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;134.2;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;40.9;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;61.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;40.3;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;51.3;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;125.2;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;204.4;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;100.6;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;122.4;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;47.7;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;76.8;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;112.2;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;134.9;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;80.0;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;124.3;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;23.5;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;26.3;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;55.2;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;95.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;189.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;96.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;175.2;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;97.3;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;55.9;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;52.8;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;34.0;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;46.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;17.7;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;82.0;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;67.7;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;115.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;100.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;67.6;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;72.3;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;116.8;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;51.8;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;43.7;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;75.8;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;40.1;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;17.1;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;43.7;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;65.2;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;128.6;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;159.3;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;94.6;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;122.5;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;82.2;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;36.2;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;69.8;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;64.6;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;40.4;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;23.6;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;65.3;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;79.1;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;179.9;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;194.8;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;154.7;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;98.4;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;34.1;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;115.7;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;97.4;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;64.0;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;22.7;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;86.4;Y
