Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Linhult D;72180;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1911-02-01 00:00:00;1998-04-30 23:59:59;155.0;57.2971;12.689
1998-05-01 00:00:00;2012-12-31 23:59:59;155.0;57.2949;12.6906
2013-01-01 00:00:00;2018-05-01 15:00:00;155.0;57.2949;12.6906

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1911-01-01 07:00:01;1911-02-01 07:00:00;1911-01;75.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1911-02-01 07:00:01;1911-03-01 07:00:00;1911-02;120.0;G;;Tidsperiod (fr.o.m.) = 1911-02-01 00:00:00 (UTC)
1911-03-01 07:00:01;1911-04-01 07:00:00;1911-03;35.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1911-04-01 07:00:01;1911-05-01 07:00:00;1911-04;70.0;G;;Värdet är summerat över = 1 månad
1911-05-01 07:00:01;1911-06-01 07:00:00;1911-05;15.0;G;;
1911-06-01 07:00:01;1911-07-01 07:00:00;1911-06;65.0;G;;Kvalitetskoderna:
1911-07-01 07:00:01;1911-08-01 07:00:00;1911-07;50.0;G;;Grön (G) = Kontrollerade och godkända värden.
1911-08-01 07:00:01;1911-09-01 07:00:00;1911-08;70.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1911-09-01 07:00:01;1911-10-01 07:00:00;1911-09;45.0;G;;
1911-10-01 07:00:01;1911-11-01 07:00:00;1911-10;150.0;G;;Orsaker till saknade data:
1911-11-01 07:00:01;1911-12-01 07:00:00;1911-11;145.0;G;;  stationen eller givaren har varit ur funktion.
1911-12-01 07:00:01;1912-01-01 07:00:00;1911-12;60.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1912-01-01 07:00:01;1912-02-01 07:00:00;1912-01;40.0;G
1912-02-01 07:00:01;1912-03-01 07:00:00;1912-02;45.0;G
1912-03-01 07:00:01;1912-04-01 07:00:00;1912-03;70.0;G
1912-04-01 07:00:01;1912-05-01 07:00:00;1912-04;50.0;G
1912-05-01 07:00:01;1912-06-01 07:00:00;1912-05;35.0;G
1912-06-01 07:00:01;1912-07-01 07:00:00;1912-06;180.0;G
1912-07-01 07:00:01;1912-08-01 07:00:00;1912-07;40.0;G
1912-08-01 07:00:01;1912-09-01 07:00:00;1912-08;251.0;G
1912-09-01 07:00:01;1912-10-01 07:00:00;1912-09;43.0;G
1912-10-01 07:00:01;1912-11-01 07:00:00;1912-10;100.0;G
1912-11-01 07:00:01;1912-12-01 07:00:00;1912-11;121.0;G
1912-12-01 07:00:01;1913-01-01 07:00:00;1912-12;163.0;G
1913-01-01 07:00:01;1913-02-01 07:00:00;1913-01;46.0;G
1913-02-01 07:00:01;1913-03-01 07:00:00;1913-02;40.0;G
1913-03-01 07:00:01;1913-04-01 07:00:00;1913-03;113.0;G
1913-04-01 07:00:01;1913-05-01 07:00:00;1913-04;49.0;G
1913-05-01 07:00:01;1913-06-01 07:00:00;1913-05;29.0;G
1913-06-01 07:00:01;1913-07-01 07:00:00;1913-06;90.0;G
1913-07-01 07:00:01;1913-08-01 07:00:00;1913-07;23.0;G
1913-08-01 07:00:01;1913-09-01 07:00:00;1913-08;77.0;G
1913-09-01 07:00:01;1913-10-01 07:00:00;1913-09;118.0;G
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;84.0;G
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;142.0;G
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;108.0;G
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;76.0;G
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;78.0;G
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;71.0;G
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;54.0;G
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;53.0;G
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;14.0;G
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;135.0;G
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;47.0;G
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;69.0;G
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;56.0;G
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;139.0;G
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;124.0;G
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;78.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;54.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;29.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;29.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;67.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;13.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;136.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;42.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;65.0;G
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;12.0;G
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;89.0;G
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;110.0;G
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;125.0;G
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;50.0;G
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;33.0;G
1916-04-01 07:00:01;1916-05-01 07:00:00;1916-04;36.0;G
1916-05-01 07:00:01;1916-06-01 07:00:00;1916-05;71.0;G
1916-06-01 07:00:01;1916-07-01 07:00:00;1916-06;141.0;G
1916-07-01 07:00:01;1916-08-01 07:00:00;1916-07;68.0;G
1916-08-01 07:00:01;1916-09-01 07:00:00;1916-08;102.0;G
1916-09-01 07:00:01;1916-10-01 07:00:00;1916-09;63.0;G
1916-10-01 07:00:01;1916-11-01 07:00:00;1916-10;149.0;G
