Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fotskäl D;72210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2018-05-01 15:00:00;135.0;57.4382;12.4135

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;132.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;51.4;Y;;Tidsperiod (fr.o.m.) = 2005-12-01 00:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;54.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;51.8;Y;;Värdet är summerat över = 1 månad
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;64.0;Y;;
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;110.0;Y;;Kvalitetskoderna:
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;73.9;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;52.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;69.6;Y;;
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;125.0;Y;;Orsaker till saknade data:
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;60.8;Y;;  stationen eller givaren har varit ur funktion.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;244.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;178.5;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;274.8;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;209.7;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;37.3;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;93.1;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;49.8;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;96.5;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;132.3;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;236.3;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;92.9;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;154.2;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;41.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;106.2;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;179.1;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;193.4;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;122.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;159.4;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;36.9;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;12.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;86.5;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;104.3;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;202.0;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;100.7;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;220.7;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;144.3;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;65.2;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;78.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;45.0;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;48.0;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;26.4;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;96.4;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;87.1;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;149.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;114.7;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;102.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;112.5;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;172.9;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;64.6;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;61.4;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;69.3;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;57.4;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;17.7;Y
