Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bollebygd;72400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1940-02-01 00:00:00;2008-11-01 23:59:59;65.0;57.661;12.5521
2017-01-01 00:00:00;2018-05-01 15:00:00;129.0;57.63814;12.63351

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;23.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;32.0;G;;Tidsperiod (fr.o.m.) = 1940-02-01 00:00:00 (UTC)
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;62.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;48.0;G;;Värdet är summerat över = 1 månad
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;24.0;G;;
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;72.0;G;;Kvalitetskoderna:
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;120.0;G;;Grön (G) = Kontrollerade och godkända värden.
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;136.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;147.0;G;;
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;63.0;G;;Orsaker till saknade data:
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;117.0;G;;  stationen eller givaren har varit ur funktion.
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;51.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;8.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;38.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;38.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;13.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;17.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;50.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;97.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;160.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;37.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;52.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;39.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;80.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;38.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;32.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;33.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;24.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;56.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;28.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;78.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;71.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;112.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;101.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;55.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;110.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;113.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;138.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;59.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;65.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;33.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;91.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;68.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;134.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;81.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;96.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;107.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;80.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;149.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;31.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;36.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;50.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;60.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;60.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;110.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;58.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;208.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;81.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;148.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;108.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;125.4;Y
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;78.5;Y
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;46.5;Y
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;27.5;Y
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;65.6;Y
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;63.6;Y
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;97.2;Y
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;141.0;G
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;57.0;G
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;78.4;Y
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;40.0;G
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;57.0;Y
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;73.0;Y
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;87.1;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;18.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;40.1;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;36.7;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;161.5;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;91.8;Y
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;110.7;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;197.3;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;26.8;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;115.2;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;56.8;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;26.6;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;7.8;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;60.2;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;72.4;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;0.0;G
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;67.9;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;93.5;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;4.4;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;77.6;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;24.6;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;126.0;G
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;39.7;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;87.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;65.1;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;43.8;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;73.3;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;30.5;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;49.5;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;58.5;Y
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;170.2;Y
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;94.5;Y
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;108.4;Y
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;69.8;Y
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;87.9;Y
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;145.2;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;45.0;G
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;27.7;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;113.7;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;71.0;G
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;60.1;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;61.5;Y
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;115.1;Y
