Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skeppshult D;73070;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2008-10-31 23:59:59;148.0;57.1191;13.4008
2008-11-01 00:00:00;2018-05-01 15:00:00;155.0;57.1215;13.4056

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;94.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;44.0;Y;;Tidsperiod (fr.o.m.) = 2005-12-01 00:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;33.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;37.6;Y;;Värdet är summerat över = 1 månad
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;61.9;Y;;
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;103.8;Y;;Kvalitetskoderna:
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;83.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;31.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;43.2;Y;;
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;127.5;Y;;Orsaker till saknade data:
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;38.9;Y;;  stationen eller givaren har varit ur funktion.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;215.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;83.7;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;164.1;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;184.1;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;48.2;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;58.6;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;38.1;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;99.7;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;137.4;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;223.0;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;92.7;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;137.9;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;27.1;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;56.5;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;99.3;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;150.8;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;97.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;92.6;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;42.5;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;20.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;60.0;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;85.6;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;189.0;Y
