Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Reftele D;73080;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-10-01 00:00:00;2018-04-30 23:59:59;155.0;57.1691;13.6002

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;84.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;126.7;Y;;Tidsperiod (fr.o.m.) = 2004-10-01 00:00:00 (UTC)
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;82.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;72.1;Y;;Värdet är summerat över = 1 månad
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;104.9;Y;;
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;50.3;Y;;Kvalitetskoderna:
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;43.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;30.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;33.8;Y;;
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;57.3;Y;;Orsaker till saknade data:
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;205.5;Y;;  stationen eller givaren har varit ur funktion.
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;84.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;17.2;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;84.1;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;76.8;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;44.1;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;27.6;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;31.5;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;47.9;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;81.4;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;63.9;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;28.9;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;61.7;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;139.9;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;44.7;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;194.6;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;72.8;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;154.7;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;158.7;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;38.5;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;52.8;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;32.9;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;93.0;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;133.0;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;200.7;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;115.2;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;123.6;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;20.1;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;43.0;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;84.2;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;134.7;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;73.8;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;69.7;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;41.1;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;16.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;50.9;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;61.9;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;158.5;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;99.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;163.0;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;86.0;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;50.1;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;31.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;42.2;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;35.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;6.0;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;68.5;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;77.1;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;118.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;77.2;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;37.2;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;88.9;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;143.7;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;61.0;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;27.4;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;78.3;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;22.8;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;22.1;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;53.6;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;88.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;136.7;Y
