Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kävsjö D;73200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1886-06-01 00:00:00;2018-05-01 15:00:00;170.0;57.3222;13.9264

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;47.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;33.0;G;;Tidsperiod (fr.o.m.) = 1886-06-01 00:00:00 (UTC)
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;34.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;18.0;G;;Värdet är summerat över = 1 månad
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;51.0;G;;
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;10.0;G;;Kvalitetskoderna:
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;46.0;G;;Grön (G) = Kontrollerade och godkända värden.
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;13.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;16.0;G;;
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;7.0;G;;Orsaker till saknade data:
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;28.0;G;;  stationen eller givaren har varit ur funktion.
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;59.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;8.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;129.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;60.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;88.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;53.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;40.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;45.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;14.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;39.0;G
