Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kindsboda;73330;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-07-01 00:00:00;2017-09-30 23:59:59;175.0;57.5559;13.2825
2018-04-01 00:00:00;2018-05-01 15:00:00;170.0;57.59253;13.33893

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;51.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;164.1;Y;;Tidsperiod (fr.o.m.) = 1993-07-01 00:00:00 (UTC)
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;100.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;46.8;Y;;Värdet är summerat över = 1 månad
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;74.2;Y;;
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;35.2;Y;;Kvalitetskoderna:
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;156.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;122.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;38.8;Y;;
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;128.4;Y;;Orsaker till saknade data:
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;35.3;Y;;  stationen eller givaren har varit ur funktion.
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;22.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;87.5;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;6.5;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;69.2;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;216.3;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;67.5;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;60.3;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;166.9;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;76.9;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;137.8;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;96.6;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;61.5;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;47.9;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;67.6;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;68.5;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;41.4;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;125.2;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;76.1;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;66.8;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;14.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;8.1;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;36.3;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;19.3;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.0;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;106.2;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;35.0;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;87.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;71.8;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;45.7;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;59.1;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;130.5;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;56.3;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;19.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;150.7;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;40.5;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;54.0;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;91.2;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;79.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;78.3;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;20.6;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;66.3;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;83.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;53.4;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;96.5;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;85.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;76.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;62.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;74.6;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;49.2;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;126.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;109.3;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;120.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;87.7;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;181.0;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;35.8;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;91.5;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;120.2;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;72.5;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;63.3;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;109.2;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;54.3;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;113.1;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;71.3;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;119.7;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;140.0;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;111.0;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;40.9;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;201.2;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;116.9;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;105.8;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;69.5;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;76.5;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;77.6;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;79.7;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;86.7;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;57.5;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;38.1;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;148.1;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;116.4;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;107.8;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;54.6;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;55.7;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;35.2;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;80.2;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;64.7;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;64.5;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;82.5;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;98.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;81.9;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;102.8;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;58.6;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;51.6;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;126.9;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;126.9;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;72.2;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;28.2;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;135.4;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;112.2;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;85.2;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;52.8;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;22.4;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;79.6;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;59.1;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;25.9;Y
