Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rångedala A;73480;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-05-01 15:00:00;297.0;57.7848;13.1668

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;37.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;149.3;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;92.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;75.0;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;15.3;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;14.1;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;42.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;27.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;19.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;111.3;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;67.2;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;63.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;82.0;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;57.7;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;94.7;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;146.9;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;54.0;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;18.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;139.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;48.1;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;41.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;95.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;82.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;81.4;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;48.8;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;59.6;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;72.0;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;57.7;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;109.8;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;82.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;73.8;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;55.0;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;74.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;38.4;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;144.1;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;92.0;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;114.7;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;136.3;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;211.5;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;40.6;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;93.7;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;134.5;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;59.0;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;74.4;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;105.3;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;56.7;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;118.5;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;67.6;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;109.2;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;133.8;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;89.5;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;44.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;204.8;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;126.4;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;116.3;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;60.9;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;98.3;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;74.5;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;85.8;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;72.4;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;57.4;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;45.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;177.2;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;123.7;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;134.9;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;62.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;56.1;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;38.8;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;73.0;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;67.8;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;72.2;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;110.9;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;89.6;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;100.5;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;125.2;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;54.4;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;51.2;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;128.7;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;141.0;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;80.3;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;30.8;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;124.4;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;136.8;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;101.1;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;53.1;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;19.0;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;94.8;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;66.2;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;25.0;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;63.7;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;14.6;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;25.0;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;91.6;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;82.4;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;80.0;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;128.3;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;63.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;24.6;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;33.5;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;82.0;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;105.4;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;61.7;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;36.5;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;76.2;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;29.4;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;50.2;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;89.4;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;136.9;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;122.8;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;82.7;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;130.9;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;70.5;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;76.1;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;109.5;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;45.3;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;30.7;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;30.8;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;54.7;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;61.6;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;109.6;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;99.3;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;25.8;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;67.5;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;89.1;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;49.0;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;39.6;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;38.3;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;37.2;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;80.6;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;55.9;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;34.6;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;37.2;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;143.4;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;55.4;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;217.7;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;112.2;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;167.6;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;182.1;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;36.6;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;101.0;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;35.4;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;73.4;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;147.0;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;207.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;70.2;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;141.3;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;23.2;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;64.2;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;160.4;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;132.2;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;79.0;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;82.2;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;49.3;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;25.2;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;60.5;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;71.7;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;181.3;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;82.2;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;145.1;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;108.8;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;48.8;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;36.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;31.5;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;30.9;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;4.4;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;62.2;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;101.6;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;146.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;64.5;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;90.7;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;91.3;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;163.2;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;53.3;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;23.3;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;72.2;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;32.0;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;25.0;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;56.3;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;55.2;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;152.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;142.7;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;107.0;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;107.2;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;128.8;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;32.2;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;68.4;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;37.1;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;44.7;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;24.1;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;84.0;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;129.0;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;131.8;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;185.9;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;140.8;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;104.3;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;53.7;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;160.2;Y
