Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Söraby;74030;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-03-01 00:00:00;2018-03-31 23:59:59;180.0;57.0345;14.9446
1881-02-01 00:00:00;1989-01-01 23:59:59;185.0;57.0225;14.893

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;15.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;20.0;G;;Tidsperiod (fr.o.m.) = 1881-02-01 00:00:00 (UTC)
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;30.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;10.0;G;;Värdet är summerat över = 1 månad
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;40.0;G;;
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;61.0;G;;Kvalitetskoderna:
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;67.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;110.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;75.0;G;;
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;67.0;G;;Orsaker till saknade data:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;72.0;G;;  stationen eller givaren har varit ur funktion.
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;37.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;33.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;29.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;38.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;40.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;35.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;60.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;114.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;83.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;34.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;23.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;47.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;47.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;23.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;11.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;11.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;11.0;G
