Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Berg;74080;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-08-01 00:00:00;2018-04-30 23:59:59;250.0;57.121;14.6931

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;30.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;82.1;Y;;Tidsperiod (fr.o.m.) = 1969-08-01 00:00:00 (UTC)
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;66.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;19.9;Y;;Värdet är summerat över = 1 månad
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;108.6;Y;;
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;16.4;Y;;Kvalitetskoderna:
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;16.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;17.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;52.1;Y;;
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;81.6;Y;;Orsaker till saknade data:
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;45.6;Y;;  stationen eller givaren har varit ur funktion.
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;20.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;78.5;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;44.4;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;58.8;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;114.7;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;78.3;Y
