Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nävelsjö;74240;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-01-01 00:00:00;2018-04-30 23:59:59;230.0;57.4397;14.8863
1959-02-01 00:00:00;1988-09-30 23:59:59;215.0;57.4042;14.891

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;42.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;3.0;G;;Tidsperiod (fr.o.m.) = 1959-02-01 00:00:00 (UTC)
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;55.0;G;;Värdet är summerat över = 1 månad
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;26.0;G;;
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;36.0;G;;Kvalitetskoderna:
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;50.0;G;;Grön (G) = Kontrollerade och godkända värden.
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;25.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;35.0;G;;
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;58.0;G;;Orsaker till saknade data:
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;35.0;G;;  stationen eller givaren har varit ur funktion.
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;55.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;48.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;23.0;G
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;19.0;G
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;30.0;G
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;40.0;G
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;60.0;G
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;84.0;G
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;150.0;G
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;19.0;G
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;75.0;G
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;89.0;G
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;62.0;G
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;15.7;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;26.8;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;22.2;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;44.0;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;72.2;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;58.0;Y
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;156.3;Y
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;64.5;Y
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;76.0;Y
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;77.5;Y
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;70.3;Y
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;43.8;Y
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;75.0;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;46.3;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;27.4;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;83.0;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;69.7;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;54.5;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;92.5;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;132.3;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;72.6;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;11.9;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;25.2;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;30.4;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;13.4;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;11.9;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;10.0;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;34.5;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;16.0;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;50.0;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;92.2;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;74.0;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;56.5;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;57.5;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;103.2;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;9.0;Y
