Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tomtabacken A;74300;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-04-30 23:59:59;356.0;57.4983;14.4672

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;67.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;12.7;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;11.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;20.4;Y;;Värdet är summerat över = 1 månad
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;16.2;Y;;
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;16.3;Y;;Kvalitetskoderna:
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;113.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;62.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;90.4;Y;;
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;51.5;Y;;Orsaker till saknade data:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;51.7;Y;;  stationen eller givaren har varit ur funktion.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;43.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;119.2;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;50.7;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;11.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;75.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;28.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;36.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;69.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;85.2;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;112.1;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;45.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;63.4;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;76.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;58.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;87.8;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;73.0;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;46.4;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;50.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;63.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;37.5;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;157.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;106.4;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;109.9;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;85.3;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;141.4;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;26.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;69.9;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;81.4;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;46.0;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;57.4;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;81.0;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;41.2;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;106.8;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;37.5;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;107.4;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;89.0;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;46.0;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;30.9;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;110.4;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;45.5;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;48.9;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;46.3;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;65.9;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;67.8;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;98.5;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;77.6;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;92.1;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;50.5;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;138.0;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;105.0;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;76.7;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;53.1;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;44.5;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;33.7;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;57.6;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;56.3;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;40.0;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;24.2;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;77.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;110.8;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;95.7;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;43.7;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;58.4;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;81.6;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;74.3;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;44.2;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;35.8;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;81.1;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;106.2;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;84.4;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;29.5;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;9.5;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;99.7;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;68.7;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;29.1;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;36.8;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;10.0;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;12.8;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;82.6;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;90.4;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;85.9;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;172.1;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;42.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;10.6;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;30.9;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;89.0;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;59.3;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;47.3;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;25.7;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;54.1;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;23.1;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;63.3;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;119.3;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;184.1;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;142.2;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;70.9;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;114.7;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;73.0;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;41.8;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;58.5;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;46.5;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;23.0;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;21.5;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;45.4;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;81.7;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;91.3;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;113.6;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;18.3;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;62.3;Y
