Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Huskvarna;74480;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-02-01 00:00:00;2018-03-31 23:59:59;99.0;57.7865;14.2874

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;48.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;35.5;Y;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;17.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;31.8;Y;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;73.1;Y;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;74.3;Y;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;93.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;159.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;20.8;Y;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;58.3;Y;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;17.9;Y;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;37.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;30.4;Y
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;71.8;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;8.6;Y
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;16.1;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;19.0;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;90.2;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;80.8;Y
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;109.5;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;144.9;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;20.4;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;39.3;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;30.4;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;11.0;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;2.3;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;49.8;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;27.7;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;28.9;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;28.9;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;84.4;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;32.9;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;24.2;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;9.4;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;78.0;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;50.6;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;57.2;Y
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;20.9;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;8.3;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;49.6;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;65.5;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;41.9;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;69.7;Y
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;76.8;Y
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;46.1;Y
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;35.5;Y
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;35.1;Y
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;15.5;Y
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;41.7;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;9.7;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;10.3;Y
1949-04-01 06:00:01;1949-05-01 06:00:00;1949-04;53.0;Y
1949-05-01 06:00:01;1949-06-01 06:00:00;1949-05;30.8;Y
1949-06-01 06:00:01;1949-07-01 06:00:00;1949-06;27.6;Y
1949-07-01 06:00:01;1949-08-01 06:00:00;1949-07;135.3;Y
1949-08-01 06:00:01;1949-09-01 06:00:00;1949-08;44.6;Y
1949-09-01 06:00:01;1949-10-01 06:00:00;1949-09;52.8;Y
1949-10-01 06:00:01;1949-11-01 06:00:00;1949-10;92.2;Y
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;49.4;Y
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;72.4;Y
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;26.9;Y
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;59.8;Y
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;20.0;Y
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;64.9;Y
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;35.9;Y
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;66.3;Y
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;63.6;Y
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;74.1;Y
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;58.9;Y
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;52.4;Y
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;59.9;Y
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;53.8;Y
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;59.4;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;22.9;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;61.2;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;46.2;Y
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;23.2;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;33.9;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;38.6;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;85.6;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;45.4;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;4.3;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;50.0;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;60.2;Y
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;36.9;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;18.2;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;12.9;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;39.0;Y
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;58.6;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;36.5;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;36.9;Y
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;59.0;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;56.5;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;97.1;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;32.5;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;33.7;Y
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;10.0;Y
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;30.5;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;32.3;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;44.3;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;46.5;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;114.2;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;89.6;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;85.7;Y
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;71.6;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;22.1;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;31.7;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;23.6;Y
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;55.8;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;16.5;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;49.4;Y
