Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nobynäs D;74540;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-02-01 00:00:00;2018-04-30 23:59:59;174.0;57.911;14.7985

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;109.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;39.0;Y;;Tidsperiod (fr.o.m.) = 2007-02-01 00:00:00 (UTC)
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;33.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;36.4;Y;;Värdet är summerat över = 1 månad
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;42.0;Y;;
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;234.0;Y;;Kvalitetskoderna:
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;109.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;77.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;88.0;Y;;
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;11.0;Y;;Orsaker till saknade data:
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;55.7;Y;;  stationen eller givaren har varit ur funktion.
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;42.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;55.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;34.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;39.9;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;18.2;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;43.3;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;43.0;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;116.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;145.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;52.4;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;81.1;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;61.6;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;53.4;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;16.6;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;35.3;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;39.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;2.7;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;62.0;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;52.8;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;76.2;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;52.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;38.4;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;70.4;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;68.5;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;43.7;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;34.2;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;51.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;29.1;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;16.7;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;71.3;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;72.6;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;106.4;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;170.0;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;61.6;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;55.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;98.1;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;40.3;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;34.9;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;31.6;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;40.8;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;11.8;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;61.8;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;142.0;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;112.7;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;88.6;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;64.2;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;47.1;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;19.5;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;84.0;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;52.5;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;21.4;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;18.8;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;81.6;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;30.3;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;127.4;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;108.1;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;71.7;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;114.3;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;62.0;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;59.3;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;57.4;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;26.4;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;30.3;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;6.2;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;29.9;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;58.3;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;112.4;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;28.3;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;64.7;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;10.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;66.4;Y
