Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fagerhult D;75090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-02-01 00:00:00;2018-05-01 15:00:00;171.0;57.1107;15.6415
1945-02-01 00:00:00;2005-09-30 23:59:59;195.0;57.1484;15.6762

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;65.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;40.0;G;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;13.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;52.0;Y;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;59.2;Y;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;43.7;Y;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;77.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;148.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;11.5;Y;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;29.9;Y;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;63.2;Y;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;62.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;23.2;Y
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;48.6;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;26.3;Y
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;27.2;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;34.7;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;112.0;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;47.8;Y
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;82.2;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;86.4;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;37.9;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;29.2;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;37.4;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;19.8;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;7.4;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;43.4;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;19.3;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;1.1;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;34.1;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;187.8;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;24.6;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;31.0;G
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;13.9;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;74.2;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;64.7;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;75.4;Y
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;25.5;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;15.3;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;49.8;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;64.5;Y
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;44.1;Y
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;122.5;Y
